Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
USA_NOAA,C_Brown,GOM_2012_30,BFT,240,225,GOM,2012-05-28,2012-06-30,34
USA_NOAA,C_Brown,GOM_2012_30,BFT,240,225,CAR,2012-07-01,2012-07-03,3
USA_NOAA,C_Brown,GOM_2012_30,BFT,240,225,W_ATL,2012-07-04,2012-09-21,80
USA_NOAA,C_Brown,GOM_2012_31,BFT,240,200,GOM,2012-05-25,2012-05-31,7
USA_NOAA,C_Brown,GOM_2012_31,BFT,240,200,CAR,2012-06-01,2012-06-06,6
USA_NOAA,C_Brown,GOM_2012_31,BFT,240,200,W_ATL,2012-06-07,2012-06-29,23
USA_NOAA,C_Brown,GOM_2012_31,BFT,240,200,GSL,2012-06-30,2012-08-16,48
USA_NOAA,C_Brown,GOM_2012_32,BFT,195,,GOM,2012-05-11,2012-05-19,9
USA_NOAA,C_Brown,GOM_2012_32,BFT,195,,CAR,2012-05-20,2012-05-29,10
USA_NOAA,C_Brown,GOM_2012_37,BFT,210,170,GOM,2012-05-23,2012-06-03,12
USA_NOAA,C_Brown,GOM_2012_37,BFT,210,170,CAR,2012-06-04,2012-06-13,10
USA_NOAA,C_Brown,GOM_2012_37,BFT,210,170,W_ATL,2012-06-14,2012-07-05,22
USA_NOAA,C_Brown,GOM_2012_41,BFT,240,200,GOM,2012-04-09,2012-05-22,44
USA_NOAA,C_Brown,GOM_2012_41,BFT,240,200,CAR,2012-05-23,2012-05-25,3
USA_NOAA,C_Brown,GOM_2012_41,BFT,240,200,W_ATL,2012-05-26,2012-06-20,26
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,GOM,2012-05-20,2012-06-01,13
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,CAR,2012-06-02,2012-06-08,7
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,W_ATL,2012-06-09,2012-07-11,33
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,GSL,2012-07-12,2012-07-12,1
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,W_ATL,2012-07-13,2012-07-17,5
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,GSL,2012-07-18,2012-07-18,1
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,W_ATL,2012-07-19,2012-07-20,2
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,GSL,2012-07-21,2012-08-05,16
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,W_ATL,2012-08-06,2012-08-07,2
USA_NOAA,C_Brown,GOM_2012_44,BFT,225,,GSL,2012-08-08,2012-08-09,2
USA_NOAA,C_Brown,GOM_2012_46,BFT,210,,GOM,2012-05-20,2012-05-29,10
USA_NOAA,C_Brown,GOM_2012_46,BFT,210,,CAR,2012-05-30,2012-06-05,7
USA_NOAA,C_Brown,GOM_2012_46,BFT,210,,W_ATL,2012-06-06,2012-07-02,27
USA_NOAA,C_Brown,GOM_2013_008,BFT,210,,GOM,2013-04-12,2013-05-25,44
USA_NOAA,C_Brown,GOM_2013_018,BFT,225,,GOM,2013-03-28,2013-05-30,64
